ordinal,hp,torque,weightLbs,weightKg,displacement,engine,drivetrain,gears,aspiration,frontWeightPct,pi,speedRating,brakingRating,handlingRating,accelRating,price,division,topSpeedMph,quarterMile,zeroToSixty,zeroToHundred,braking60,braking100,lateralG60,lateralG120,imageUrl,wikiUrl,synopsis
247,150,130,2550,1157,2,"I6",RWD,5,na,51,265,1.2,1,1.2,1.5,33000,"Sport Coupe Icons",132.1,16.203,13.7,22.905,121.4,322.5,0.98,0.93,"/car-images/247.png","https://forza.fandom.com/wiki/Toyota_2000GT","The Toyota 2000GT (codenamed MF10) is a grand tourer co-developed by Yamaha as Toyota's halo car. A total of 337 units were produced from 1967 to 1970. The 2000GT dates back to the Nissan A550X, a prototype developed by Yamaha for Nissan to replace the Datsun 2000 Roadster with a coupé. Although Nissan backed out of the project, Yamaha built a functioning prototype in September 1964, and offered it to Toyota instead. Toyota accepted the offer and began co-development in December 1964. Since the "
249,300,216,2299,1043,3,"V12",RWD,5,na,52,560,4.3,2.6,3.2,3.8,160000,"Vintage Le Mans Sportscars",177.1,13.5,6.1,13.1,107.9,292.1,1.17,1.15,"/car-images/249.png","https://forza.fandom.com/wiki/Ferrari_250_GTO_(1962)","The 250 GTO is a homologation special designed for GT racing that is based on the Ferrari 250 GT SWB. It entered the FIA's International Championship for GT Manufacturers from 1962 to 1964, where it dominated the over 2000cc class each year. After its discontinuation, the 250 GTO has started to climb up in value due to a low production number and rich motorsport history: A 250 GTO was sold for $70 million in 2018, making it the world's most expensive car sale to date. Its high value is also refl"
251,241,217,2960,1343,3,"I6",RWD,5,na,48,291,2,1.1,1.3,1.9,79000,"Sport Coupe Icons",0,0,0,0,0,0,0,0,"/car-images/251.png","https://forza.fandom.com/wiki/Mercedes-Benz_300_SL_Coupé",""
253,375,268,3196,1450,3.5,"V8",RWD,6,na,41,568,5.2,2.7,3,3.6,132000,"Sport GT Icons",0,0,0,0,0,0,0,0,"/car-images/253.png","https://forza.fandom.com/wiki/Ferrari_F355_Berlinetta","The F355 is a redesign of the 348, available in coupé (Berlinetta), targa top (GTS) and convertible (Spider) body styles. It was replaced by the 360 Modena in 1999."
255,421,360,3690,1674,4.9,"F12",RWD,5,na,42,533,5.2,2.5,2.9,3.2,126000,"Exotic GT Classics",187.5,12.916,5.017,10.716,107.5,272.8,1.14,1.14,"/car-images/255.png","https://forza.fandom.com/wiki/Ferrari_512_TR","The 512 TR ('Testa Rossa') is a redesigned variant of the Testarossa with improved engine and platform specifications. The 512 TR saw the final application of Ferrari's 180° V12 engine, commonly referred to as flat-12 (F12) engine, which had been in production since 1973. It is powered by a 4.9 liter flat-12 engine, internally codenamed 'Tipo F113 D', that has two cylinder banks angled at 180° to each other, allowing the engine to have a shorter height than regular V12 engines. The result is an "
257,508,434,3815,1730,5.7,"V12",RWD,6,na,50,585,5.8,2.6,2.7,4.4,128000,"Exotic GT Classics",196.9,12.26,4.2,9.6,110,0,1.14,1.1,"/car-images/257.png","https://forza.fandom.com/wiki/Ferrari_575M_Maranello","As an update to the 550, the 575M Maranello is a two-door V12-engined grand tourer produced by Ferrari between 2002 and 2006. Its name comes from its total engine displacement in liters (575 = 5.75 × 100) and 'M', which means 'modificato' (lit. modified). The 575M Maranello's updates from the 550 include a renewed interior, but with substantial mechanical improvements, including larger brake discs, a larger and more powerful 5.7L (5,748 cc) V12 engine with  at 7,250 rpm and  at 5,250 rpm, differ"
260,207,188,2150,975,2.7,"F6",RWD,5,na,41,371,2.3,1.6,1.8,2.9,95000,"Vintage Sport Compact",148.1,14.1,7,16.5,127.4,0,1.04,0.98,"/car-images/260.png","https://forza.fandom.com/wiki/Porsche_911_Carrera_RS","The 1973 Carrera RS was designed to homologate the Porsche 911 for the historic Group 4 racing class. It differed from other 911 models as a stripped-out model with wider bodywork accommodating the distinctive 'duck-tail' rear spoiler."
261,424,398,2855,1295,3.6,"F6",RWD,6,tt,38,640,4.7,3.4,3.3,4.7,137000,"Sport GT Icons",182.2,12.1,3.9,8.7,110.9,280.6,1.18,1.19,"/car-images/261.png","https://forza.fandom.com/wiki/Porsche_911_GT2_(1995)","The 993 GT2 was developed for GT2 class homologation and built in small production numbers. Based on the 911 Turbo, the GT2 was available with the highest power output of all Porsche 993 production models but switched to a rear-wheel drive to conform to homologation rules. The GT2 nameplate has been introduced in every Porsche 911 generation including the 2018 GT2 RS."
262,381,284,3160,1433,3.6,"F6",RWD,6,na,38,611,5.7,3.2,3.2,3.9,121000,"Sport GT Icons",195.2,12.4,4.2,9.5,109.5,0,1.17,1.17,"/car-images/262.png","https://forza.fandom.com/wiki/Porsche_911_GT3_(2004)","The 911 GT3 is a track-tuned road car that debuted in 1999 to replace the Carrera RS from previous Porsche 911 generations. The 996 generation of the Porsche 911 is the first to introduce a GT3 model, whose main characteristics are a lightweight chassis and high-revving flat-six engine. The Forza model is a facelift car that was produced from 2003 to 2005. It received teardrop headlights, a new rear wing and more powerful engine. Its successor is the 2007 Porsche 911 GT3 (997), which is featured"
263,415,300,3075,1395,3.6,"F6",RWD,6,na,38,657,6,3.5,3.4,4.4,130000,"Sport GT Icons",199.9,12.116,3.8,8.7,106.5,276.1,1.19,1.19,"/car-images/263.png","https://forza.fandom.com/wiki/Porsche_911_GT3_(2007)","The 997 GT3 is the second generation Porsche 911 GT3, replacing the 2004 996 model. The 997 reintroduces the 'Mezger' engine from its predecessor with power raised to 415 hp, and an electronic shock absorber system that allows various damping configurations. The 997 GT3 was introduced in 2007 alongside a lighter RS model. It was also available as the 911 GT3 Cup racing model."
